newStr1,newStr2,newStr3,newStr4,newStr5,newStr6,newStr7,newStr8,newStr9,newStr10,newStr11,newStr12,newStr13,newStr14,newStr15,newStr16,newStr17,newStr18,newStr19,newStr20,newStr21,newStr22,newStr23,newStr24,newStr25,newStr26,newStr27,newStr28,newStr29,newStr30,newStr31,newStr32,newStr33,newStr34,newStr35,newStr36,newStr37,newStr38,newStr39,newStr40
,Action / Movement Programming,Action Point Allowance System,Area Control / Area Influence,Area Enclosure,Area Movement,Area-Impulse,Campaign / Battle Card Driven,Card Drafting,Chit-Pull System,Deck / Pool Building,Dice Rolling,Grid Movement,Hand Management,Hex-and-Counter,Line Drawing,M:Business,M:Co-op,M:Pattern Games,M:Route Games,M:Social,Memory,Modular Board,Paper-and-Pencil,Pick-up and Deliver,Player Elimination,Point to Point Movement,Press Your Luck,Rock-Paper-Scissors,Roll / Spin and Move,Secret Unit Deployment,Set Collection,Simulation,Simultaneous Action Selection,Tile Placement,Trading,Variable Phase Order,Variable Player Powers,Voting,Worker Placement
"Area Control / Area Influence,M:Business,Dice Rolling,Hand Management,Simultaneous Action Selection",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trick-taking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Area Control / Area Influence,Hand Management,Set Collection,Tile Placement",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Action Point Allowance System,Area Control / Area Influence,M:Business,Set Collection",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hand Management,M:Business,Tile Placement",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dice Rolling,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Area Enclosure,M:Pattern Games,M:Pattern Games,Tile Placement",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Modular Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Area Control / Area Influence,Tile Placement",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
